epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,158.227,0.24538,0.34105,0.77832,0.95647,0.87764,0.93201,0.8546,0.21222,0.22928,0.72505,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
31,163.416,0.25126,0.35203,0.779,0.97753,0.85144,0.9288,0.8489,0.23891,0.22035,0.72749,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
32,168.607,0.24645,0.35066,0.77611,0.93886,0.84874,0.91108,0.82543,0.23905,0.22784,0.72704,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
33,173.735,0.23445,0.33466,0.77717,0.98109,0.85443,0.92378,0.83412,0.23779,0.21454,0.72556,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
34,178.883,0.23432,0.32978,0.77657,0.97779,0.85782,0.92348,0.85922,0.21195,0.19648,0.72514,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
35,183.95,0.24324,0.3337,0.77917,0.984,0.87761,0.92824,0.87196,0.21346,0.20436,0.72576,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
36,188.879,0.23487,0.33121,0.77796,0.96739,0.89334,0.93502,0.87482,0.2021,0.20634,0.72531,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
37,194.033,0.23001,0.32078,0.77796,0.98509,0.87442,0.92031,0.86339,0.19794,0.20056,0.72511,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
38,198.95,0.22776,0.32076,0.77744,0.96885,0.88723,0.9329,0.86416,0.20192,0.19556,0.72456,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
39,204.115,0.22605,0.31742,0.7767,0.99684,0.85077,0.91846,0.85481,0.22013,0.20259,0.7256,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
40,209.187,0.2272,0.3125,0.77816,0.97916,0.88117,0.9291,0.86934,0.18976,0.18686,0.72456,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
41,214.558,0.1912,0.36472,0.77662,0.96547,0.91374,0.94575,0.89018,0.19325,0.18629,0.72407,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
42,219.366,0.17385,0.34543,0.77561,0.94648,0.92577,0.93983,0.88661,0.20534,0.19068,0.72444,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
43,224.276,0.16802,0.33243,0.77482,0.96833,0.9109,0.94497,0.88052,0.19638,0.19001,0.72258,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
44,229.21,0.16907,0.32944,0.7734,0.98175,0.90495,0.94035,0.86836,0.22099,0.18247,0.72317,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
45,234.053,0.17136,0.33582,0.77479,0.98769,0.87439,0.93767,0.87856,0.19781,0.18384,0.72273,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
46,238.874,0.16599,0.32628,0.77068,0.99002,0.88064,0.93722,0.87774,0.17482,0.17223,0.72298,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
47,243.722,0.16666,0.32527,0.77079,0.99677,0.87888,0.93773,0.87904,0.17536,0.17111,0.72239,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
48,248.505,0.16026,0.32132,0.77012,0.97642,0.91443,0.94577,0.88842,0.18149,0.17061,0.72242,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
49,253.381,0.15505,0.31227,0.77363,0.96362,0.93611,0.94592,0.8768,0.20216,0.17538,0.72283,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
50,258.185,0.1577,0.31642,0.76955,0.97989,0.93117,0.94731,0.89152,0.17813,0.1666,0.72223,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
